time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-06-30T20:19:48.490Z,23.365,70.06,10,4.5,mb,38,,,1.03,us,usp000ahry,2020-09-18T18:26:18.147Z,"28 km N of Anj?r, India",earthquake,,,,14,reviewed,us,us
2001-06-21T14:19:19.830Z,22.93,69.553,10,4.4,mb,20,,,1.03,us,usp000ah0y,2014-11-07T01:13:06.228Z,"20 km WNW of Mundra, India",earthquake,,,,7,reviewed,us,us
2001-06-17T16:02:27.210Z,23.607,70.088,10,4.2,mb,23,,,1.55,us,usp000agur,2014-11-07T01:13:04.747Z,"42 km NW of Bhach?u, India",earthquake,,,,7,reviewed,us,us
2001-05-13T04:05:40.220Z,23.376,70.213,10,4.4,mb,21,,,1.02,us,usp000aeve,2014-11-07T01:12:47.496Z,"15 km WNW of Bhach?u, India",earthquake,,,,6,reviewed,us,us
2001-05-07T16:44:04.740Z,23.122,70.223,10,3.7,mb,14,,,1.21,us,usp000aejz,2014-11-07T01:12:46.335Z,"9 km N of K?ndla, India",earthquake,,,,1,reviewed,us,us
2001-05-06T22:58:51.270Z,23.462,70.049,10,4.7,mb,18,,,0.86,us,usp000aehq,2020-09-18T18:21:07.543Z,"35 km WNW of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2001-05-06T07:42:32.070Z,23.406,70.092,10,4.7,mb,16,,,1.39,us,usp000aegr,2020-09-18T18:20:59.011Z,"28 km WNW of Bhach?u, India",earthquake,,,,4,reviewed,us,us
2001-04-26T09:00:23.200Z,23.52,70.548,10,4.2,mb,35,,,1.13,us,usp000adzg,2014-11-07T01:12:38.210Z,"Gujarat, India",earthquake,,,,11,reviewed,us,us
2001-04-24T06:05:45.110Z,23.377,70.162,10,4.1,mb,8,,,0.54,us,usp000advu,2014-11-07T01:12:37.725Z,"20 km WNW of Bhach?u, India",earthquake,,,,2,reviewed,us,us
2001-04-17T11:29:52.780Z,23.045,70.521,10,4.2,mb,9,,,1.42,us,usp000adeg,2014-11-07T01:12:35.529Z,"31 km E of K?ndla, India",earthquake,,,,3,reviewed,us,us
2001-04-16T14:25:59.300Z,23.464,70.098,10,4.1,mb,10,,,1.07,us,usp000adcc,2014-11-07T01:12:35.270Z,"31 km NW of Bhach?u, India",earthquake,,,,5,reviewed,us,us
2001-04-12T17:24:27.550Z,23.773,70.75,10,4.1,mb,18,,,1.06,us,usp000ad3s,2014-11-07T01:12:34.283Z,"24 km NNE of R?par, India",earthquake,,,,2,reviewed,us,us
2001-04-01T08:56:50.920Z,23.47,70.5,17.9,4.6,mb,26,,,1,us,usp000acc3,2020-09-18T18:18:36.642Z,"18 km SW of R?par, India",earthquake,,,,6,reviewed,us,us
2001-03-19T20:06:48.330Z,23.393,70.105,10,4.9,ms,59,,,1.11,us,usp000abrb,2020-09-18T18:18:04.954Z,"26 km WNW of Bhach?u, India",earthquake,,,,26,reviewed,us,us
2001-03-14T23:49:04.990Z,22.587,69.846,10,4,mb,11,,,1.32,us,usp000abdv,2014-11-07T01:12:21.163Z,"17 km N of Sikka, India",earthquake,,,,2,reviewed,us,us
2001-03-14T10:42:08.380Z,23.383,70.329,28.8,4.5,mb,19,,,1.21,us,usp000abcv,2020-09-18T18:17:02.831Z,"9 km N of Bhach?u, India",earthquake,,,,4,reviewed,us,us
2001-03-13T12:05:44.070Z,23.5,70.128,10,3.7,mb,8,,,0.76,us,usp000abay,2014-11-07T01:12:20.809Z,"31 km NW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-03-11T12:38:28.550Z,23.603,69.847,10,4,mb,11,,,0.53,us,usp000ab7r,2014-11-07T01:12:20.004Z,"42 km NNE of Bhuj, India",earthquake,,,,2,reviewed,us,us
2001-03-09T12:40:54.310Z,23.622,70.072,10,4.2,mb,9,,,0.81,us,usp000ab57,2014-11-07T01:12:19.708Z,"45 km NW of Bhach?u, India",earthquake,,,,2,reviewed,us,us
2001-03-08T02:56:17.970Z,23.483,70.172,10,4.4,mb,17,,,1.23,us,usp000ab35,2014-11-07T01:12:19.440Z,"26 km NW of Bhach?u, India",earthquake,,,,5,reviewed,us,us
